code_site,libelle_site,type_site,coordonnee_x_site,coordonnee_y_site,code_projection,longitude_site,latitude_site,altitude_site,code_systeme_alti_site,statut_site,influence_generale_site,code_entite_hydro_site,code_troncon_hydro_site,code_commune_site,code_zone_hydro_site,libelle_commune,code_departement,code_region,libelle_region,code_cours_eau,libelle_cours_eau,uri_cours_eau,commentaire_influence_generale_site,commentaire_site,libelle_departement
S2110001,La Petite Leyre à Luxey,PONCTUEL,420339.0,6356954.0,26,-0.503639745,44.255754223,,,1.0,,S21-0400,S2110400,['40167'],S211,['LUXEY'],['40'],['75'],['NOUVELLE-AQUITAINE'],S21-0400,La Petite Leyre,http://id.eaufrance.fr/CEA/S21-0400,,Point de mesure ONDE (Observatoire National Des Etiages),['LANDES']
S2134010,La Petite Leyre à Belhade,STANDARD,406409.0,6370828.0,26,-0.686018193,44.374803862,30.0,0.0,1.0,1.0,S21-0400,S2130400,['40032'],S213,['BELHADE'],['40'],['75'],['NOUVELLE-AQUITAINE'],S21-0400,La Petite Leyre,http://id.eaufrance.fr/CEA/S21-0400,,,['LANDES']
S2224610,Le ruisseau de Castera à Moustey [Biganon],STANDARD,401316.0,6375072.0,26,-0.752395356,44.410806256,28.0,2.0,1.0,1.0,S22-0400,S2220400,['40200'],S222,['MOUSTEY'],['40'],['75'],['NOUVELLE-AQUITAINE'],S22-0400,Ruisseau de Castera,http://id.eaufrance.fr/CEA/S22-0400,,,['LANDES']
S2235010,Le ruisseau de Lilaire à Belin-Béliet [Muret],STANDARD,395888.0,6376380.0,26,-0.821276993,44.420224712,42.0,2.0,1.0,1.0,S2230500,S2230500,['33042'],S223,['BELIN-BELIET'],['33'],['75'],['NOUVELLE-AQUITAINE'],S2230500,Ruisseau de Lilaire,http://id.eaufrance.fr/CEA/S2230500,,,['GIRONDE']
S2235610,Le ruisseau de Bouron à Belin-Béliet [Moulin du Moine],STANDARD,400032.0,6381175.0,26,-0.772161902,44.465132075,23.0,2.0,1.0,1.0,S2230560,S2230560,['33042'],S223,['BELIN-BELIET'],['33'],['75'],['NOUVELLE-AQUITAINE'],S2230560,Ruisseau de Bouron,http://id.eaufrance.fr/CEA/S2230560,,,['GIRONDE']
S2242510,La Grande Leyre à Salles,STANDARD,392604.0,6390734.0,26,-0.87131169,44.547848054,14.0,2.0,1.0,1.0,S2--0250,S2240250,['33498'],S224,['SALLES'],['33'],['75'],['NOUVELLE-AQUITAINE'],S2--0250,La Grande Leyre,http://id.eaufrance.fr/CEA/S2--0250,,,['GIRONDE']
S2245510,Le fossé de la Longère à Belin-Béliet [Lugos],STANDARD,388733.0,6379836.0,26,-0.913187107,44.448144788,45.0,2.0,1.0,1.0,S2241262,S2241262,['33042'],S224,['BELIN-BELIET'],['33'],['75'],['NOUVELLE-AQUITAINE'],S2241262,Fossé de la Longère,http://id.eaufrance.fr/CEA/S2241262,,,['GIRONDE']
S2245511,Le ruisseau de Paillasse à Belin-Béliet,PONCTUEL,401349.0,6387132.0,26,-0.759188986,44.519261958,,,1.0,,S2240500,S2240500,['33042'],S224,['BELIN-BELIET'],['33'],['75'],['NOUVELLE-AQUITAINE'],S2240500,Ruisseau de Paillasse,http://id.eaufrance.fr/CEA/S2240500,,Point de mesure ONDE (Observatoire National Des Etiages),['GIRONDE']
S2245512,Le ruisseau du Moulin de Lugos à Lugos,PONCTUEL,396046.93,6385603.86,26,-0.824892894,44.503229907,17.5,3.0,2.0,0.0,S2240580,S2240580,['33260'],S224,['LUGOS'],['33'],['75'],['NOUVELLE-AQUITAINE'],S2240580,Ruisseau du Moulin de Lugos,http://id.eaufrance.fr/CEA/S2240580,,,['GIRONDE']
S2260001,Le ruisseau de Lacanau à Biganos,PONCTUEL,390948.0,6402119.0,26,-0.899207946,44.649484478,,,1.0,,S2260500,S2260500,['33051'],S226,['BIGANOS'],['33'],['75'],['NOUVELLE-AQUITAINE'],S2260500,Ruisseau de Lacanau,http://id.eaufrance.fr/CEA/S2260500,,Point de mesure ONDE (Observatoire National Des Etiages),['GIRONDE']
