code_site,code_station,grandeur_hydro,date_debut_serie,date_fin_serie,code_systeme_alti_serie,date_obs,resultat_obs,code_methode_obs,libelle_methode_obs,code_qualification_obs,libelle_qualification_obs,longitude,latitude,code_statut,libelle_statut,code_continuite,libelle_continuite
A2140100,A214010001,Q,2026-06-04T05:10:00Z,2026-06-04T07:00:00Z,31,2026-06-04 06:20:00+00:00,1710.0,8,Calculée,16,Non qualifiée,7.369707586,48.159712726,4,Brute,0,Continue
A2140100,A214010001,Q,2026-06-04T05:10:00Z,2026-06-04T07:00:00Z,31,2026-06-04 06:10:00+00:00,1710.0,8,Calculée,16,Non qualifiée,7.369707586,48.159712726,4,Brute,0,Continue
A2140100,A214010001,Q,2026-06-04T05:10:00Z,2026-06-04T06:00:00Z,31,2026-06-04 06:00:00+00:00,1700.0,8,Calculée,16,Non qualifiée,7.369707586,48.159712726,4,Brute,0,Continue
A2140100,A214010001,Q,2026-06-04T05:10:00Z,2026-06-04T06:00:00Z,31,2026-06-04 05:50:00+00:00,1710.0,8,Calculée,16,Non qualifiée,7.369707586,48.159712726,4,Brute,0,Continue
A2140100,A214010001,Q,2026-06-04T05:10:00Z,2026-06-04T06:00:00Z,31,2026-06-04 05:40:00+00:00,1700.0,8,Calculée,16,Non qualifiée,7.369707586,48.159712726,4,Brute,0,Continue
A2140100,A214010001,Q,2026-06-04T05:10:00Z,2026-06-04T06:00:00Z,31,2026-06-04 05:30:00+00:00,1710.0,8,Calculée,16,Non qualifiée,7.369707586,48.159712726,4,Brute,0,Continue
A2140100,A214010001,Q,2026-06-04T05:10:00Z,2026-06-04T06:00:00Z,31,2026-06-04 05:20:00+00:00,1700.0,8,Calculée,16,Non qualifiée,7.369707586,48.159712726,4,Brute,0,Continue
A2140100,A214010001,Q,2026-06-04T05:10:00Z,2026-06-04T06:00:00Z,31,2026-06-04 05:10:00+00:00,1700.0,8,Calculée,16,Non qualifiée,7.369707586,48.159712726,4,Brute,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-04 05:00:00+00:00,1710.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-03 23:30:00+00:00,1740.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-03 22:10:00+00:00,1690.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-03 20:20:00+00:00,1740.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-03 17:40:00+00:00,1740.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-03 14:30:00+00:00,1800.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-03 12:20:00+00:00,1910.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-03 11:00:00+00:00,1810.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-03 06:40:00+00:00,1820.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-03 01:00:00+00:00,1820.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-02 23:10:00+00:00,1660.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-02 20:50:00+00:00,1710.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-02 19:30:00+00:00,1590.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-02 15:20:00+00:00,1590.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-02 14:20:00+00:00,1640.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-02 12:10:00+00:00,1540.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-02 10:00:00+00:00,1540.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-02 05:20:00+00:00,1550.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-01 23:50:00+00:00,1560.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-01 17:50:00+00:00,1650.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-01 13:30:00+00:00,1740.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-01 12:00:00+00:00,1790.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-01 07:20:00+00:00,1950.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-01 05:20:00+00:00,2100.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-01 03:50:00+00:00,2280.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-01 02:40:00+00:00,2530.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-01 01:30:00+00:00,2630.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-06-01 00:40:00+00:00,2560.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-31 23:50:00+00:00,2330.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-31 23:30:00+00:00,2150.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-31 23:00:00+00:00,1710.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-31 22:50:00+00:00,1610.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-31 22:30:00+00:00,1540.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-31 18:00:00+00:00,1430.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-31 16:40:00+00:00,1450.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-31 10:40:00+00:00,1370.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-31 05:50:00+00:00,1350.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-31 02:20:00+00:00,1370.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-30 20:20:00+00:00,1460.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-30 16:00:00+00:00,1480.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-30 11:50:00+00:00,1450.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-30 06:30:00+00:00,1400.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-30 03:50:00+00:00,1410.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-30 00:10:00+00:00,1400.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-29 21:40:00+00:00,1420.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-29 16:00:00+00:00,1500.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-29 13:20:00+00:00,1500.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-29 08:00:00+00:00,1450.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-29 02:20:00+00:00,1420.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-29 00:20:00+00:00,1430.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-28 19:30:00+00:00,1470.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-28 15:10:00+00:00,1600.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-28 13:40:00+00:00,1520.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-28 09:50:00+00:00,1540.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-28 05:00:00+00:00,1430.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-27 23:00:00+00:00,1470.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-27 20:30:00+00:00,1570.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-27 18:20:00+00:00,1470.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-27 14:50:00+00:00,1590.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-27 13:00:00+00:00,1560.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-27 08:30:00+00:00,1560.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-27 03:20:00+00:00,1500.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-26 22:40:00+00:00,1470.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-26 20:30:00+00:00,1510.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-26 18:30:00+00:00,1480.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-26 16:30:00+00:00,1560.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-26 10:50:00+00:00,1640.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-26 07:40:00+00:00,1640.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-26 03:20:00+00:00,1590.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-26 00:30:00+00:00,1700.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-25 22:30:00+00:00,1650.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-25 17:50:00+00:00,1740.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-25 17:00:00+00:00,1740.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
A2140100,A214010001,Q,2026-05-05T05:55:03Z,2026-06-04T05:00:00Z,31,2026-05-25 11:00:00+00:00,1740.0,10,Expertisée,20,Bonne,7.369707586,48.159712726,12,Pré-validée,0,Continue
